CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
132795197,78,BROOKLYN,12/31/2021,10:05:00,12/31/2021,10:06:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,333,"LARCENY,PETIT FROM STORE-SHOPL",COMMERCIAL BUILDING,12/31/2021,987842,182748,40.66828526,-73.98705322,"(40.66828526200004, -73.98705322499995)"
462014843,41,BRONX,12/31/2021,8:00:00,12/31/2021,8:25:00,COMPLETED,,N.Y. POLICE DEPT,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - APT. HOUSE,12/31/2021,1011632,238408,40.82101631,-73.90106996,"(40.82101631000006, -73.90106995999997)"
716407773,24,MANHATTAN,12/31/2021,10:58:00,12/31/2021,11:02:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,333,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,12/31/2021,991455,227761,40.79183273,-73.97398112,"(40.79183272700004, -73.97398111699994)"
107651624,104,QUEENS,12/31/2021,1:00:00,12/31/2021,6:00:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,12/31/2021,1009700,196643,40.70638799,-73.90820841,"(40.706387990000046, -73.90820841199996)"
770812036,25,MANHATTAN,12/31/2021,17:30:00,12/31/2021,17:32:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,333,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,12/31/2021,1001060,230358,40.79894774,-73.93928686,"(40.79894773900003, -73.93928686299995)"
794123141,13,MANHATTAN,12/31/2021,20:00:00,12/31/2021,21:00:00,COMPLETED,,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",TRANSIT - NYC SUBWAY,12/31/2021,987048,206851,40.73444265,-73.98990538,"(40.73444264900007, -73.98990537699996)"
160653152,49,BRONX,12/31/2021,14:10:00,12/31/2021,14:11:00,COMPLETED,,N.Y. POLICE DEPT,348,MISDEMEANOR,,VEHICLE AND TRAFFIC LAWS,,916,LEAVING SCENE-ACCIDENT-PERSONA,STREET,12/31/2021,1020937,254605,40.86543855,-73.86736232,"(40.86543854800004, -73.86736232099996)"
569207221,67,BROOKLYN,12/31/2021,0:40:00,12/31/2021,0:50:00,COMPLETED,,N.Y. POLICE DEPT,106,FELONY,FRONT OF,FELONY ASSAULT,,109,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,12/31/2021,1006160,180447,40.66194315,-73.92102913,"(40.66194314900008, -73.92102913399998)"
811638680,104,QUEENS,12/31/2021,7:35:00,12/31/2021,7:48:00,COMPLETED,,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,725,"FORGERY,M.V. REGISTRATION",STREET,12/31/2021,1012403,197615,40.70904771,-73.89845518,"(40.70904771200002, -73.89845517899995)"
559620194,45,BRONX,12/31/2021,2:30:00,12/31/2021,4:08:00,ATTEMPTED,,N.Y. POLICE DEPT,107,FELONY,FRONT OF,BURGLARY,,213,"BURGLARY,COMMERCIAL,NIGHT",FAST FOOD,12/31/2021,1030858,255585,40.86808154,-73.83148694,"(40.86808154000005, -73.83148694299997)"
